"","TaskPit","ブラウザ","メール","プログラミング","デバッグ(.NET)","テキスト閲覧・編集","プレゼン編集","データ分析","デスクトップ","ファイル操作","登録外"
"2016年11月24日14時45分","0","0","0","0","0","0","271","0","0","0","28"
"2016年11月24日14時50分","0","0","0","0","0","0","301","0","0","0","0"
"2016年11月24日14時55分","0","98","0","0","0","0","187","0","0","0","0"
"2016年11月24日15時00分","0","115","0","0","0","0","155","0","0","0","0"
"2016年11月24日15時05分","0","27","0","0","0","0","256","0","0","1","5"
"2016年11月24日15時10分","0","0","0","0","0","0","76","0","0","6","206"
"2016年11月24日15時15分","0","0","0","0","0","0","281","0","0","1","11"
"2016年11月24日15時20分","0","0","0","0","0","0","191","0","0","0","108"
"2016年11月24日15時25分","0","0","0","0","0","0","232","0","0","9","38"
"2016年11月24日15時30分","0","0","0","0","0","0","300","0","0","0","0"
"2016年11月24日15時35分","0","0","0","0","0","0","100","0","3","0","194"
"2016年11月24日17時00分","0","0","0","0","0","0","0","0","0","37","74"
"2016年11月24日17時05分","0","255","0","0","0","0","0","0","0","0","1"
"2016年11月24日17時10分","0","283","0","0","0","0","0","0","0","0","0"
"2016年11月24日17時15分","0","285","0","0","0","0","0","0","0","0","0"
"2016年11月24日17時20分","0","270","0","0","0","0","0","0","0","0","28"
"2016年11月24日17時25分","0","89","0","0","0","0","0","0","0","0","0"
"2016年11月24日17時30分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月24日17時35分","0","281","0","0","0","0","0","0","2","0","0"
"2016年11月24日17時40分","0","300","0","0","0","0","0","0","0","0","0"
"2016年11月24日17時45分","0","10","0","0","0","0","0","0","0","0","0"
"2016年11月24日17時50分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月24日17時55分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月24日18時00分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月24日18時05分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月24日18時10分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月24日18時15分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月24日18時20分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月24日18時25分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月24日18時30分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日14時45分","4","72","0","0","0","0","0","0","318","12","67"
"2016年11月29日14時50分","0","299","0","0","0","0","0","0","0","0","0"
"2016年11月29日14時55分","0","300","0","0","0","0","0","0","0","0","0"
"2016年11月29日15時00分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日15時05分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日15時10分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日15時15分","0","1","0","0","0","0","0","0","0","0","141"
"2016年11月29日15時20分","0","0","0","0","0","0","0","0","0","0","300"
"2016年11月29日15時25分","0","0","0","0","0","0","0","0","0","0","300"
"2016年11月29日15時30分","0","0","0","0","0","0","0","0","0","0","300"
"2016年11月29日15時35分","0","39","0","0","0","0","0","0","0","0","257"
"2016年11月29日15時40分","0","298","0","0","0","0","0","0","0","0","0"
"2016年11月29日15時45分","0","193","0","0","0","0","0","0","0","0","105"
"2016年11月29日15時50分","0","0","0","0","0","0","0","0","0","0","300"
"2016年11月29日15時55分","0","0","0","0","0","0","0","0","0","0","202"
"2016年11月29日16時00分","0","123","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時05分","0","301","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時10分","0","184","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時15分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時20分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時25分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時30分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時35分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時40分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時45分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時50分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時55分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時00分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時05分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時10分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時15分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時20分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時25分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時30分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時35分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時40分","0","295","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時45分","0","300","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時50分","0","23","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時55分","0","13","0","0","0","0","0","0","0","0","34"
"2016年11月29日18時00分","0","258","0","0","0","0","0","0","0","0","40"
"2016年11月29日18時05分","0","221","0","0","0","0","0","0","72","0","0"
"2016年11月29日18時10分","0","204","0","0","0","0","0","0","84","0","0"
"2016年11月29日18時15分","0","294","0","0","0","0","0","0","0","0","0"
"2016年11月29日18時20分","0","87","0","0","0","0","0","0","0","0","0"
"2016年11月29日18時25分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日18時30分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日18時35分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日18時40分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月30日15時00分","21","0","0","0","0","0","94","0","0","106","45"
"2016年11月30日15時10分","0","30","0","0","0","0","0","61","0","131","0"
"2016年11月30日15時15分","110","65","0","0","0","0","0","49","16","27","2"
"2016年11月30日15時20分","0","136","0","0","0","0","0","0","0","82","52"
"2016年11月30日15時25分","0","8","0","0","0","0","0","0","0","30","242"
"2016年11月30日15時30分","0","234","0","0","0","0","0","0","0","0","52"
"2016年11月30日15時35分","0","227","0","0","0","0","34","0","0","0","22"
"2016年11月30日15時40分","0","102","0","0","0","0","31","0","5","97","49"
"2016年11月30日15時45分","0","298","0","0","0","0","0","0","0","0","0"
"2016年11月30日15時50分","0","179","0","0","0","0","0","3","2","52","50"
"2016年11月30日15時55分","0","130","0","0","0","0","0","0","0","78","53"
"2016年11月30日16時00分","0","172","0","0","0","0","16","3","0","13","82"
"2016年11月30日16時05分","0","64","0","0","0","0","0","0","0","0","231"
"2016年11月30日16時10分","0","226","0","0","0","0","0","0","0","0","72"
"2016年11月30日16時15分","0","229","0","0","0","0","0","0","0","0","53"
"2016年11月30日16時20分","0","296","0","0","0","0","0","0","0","0","0"
"2016年11月30日16時25分","0","121","0","109","0","0","0","26","3","20","0"
"2016年11月30日16時30分","0","230","0","64","0","0","0","0","0","0","0"
"2016年11月30日16時35分","0","296","0","0","0","0","0","0","0","0","0"
"2016年11月30日16時40分","0","287","0","0","0","0","0","0","0","0","0"
"2016年11月30日16時45分","0","198","0","0","0","0","0","0","0","0","98"
"2016年11月30日16時50分","0","220","0","0","0","0","56","0","2","0","13"
"2016年11月30日16時55分","0","283","0","0","0","0","0","0","0","0","12"
"2016年11月30日17時00分","0","115","0","0","0","0","0","8","0","0","149"
"2016年11月30日17時05分","0","154","0","0","0","0","0","37","0","0","94"
"2016年11月30日17時10分","0","127","0","0","0","0","0","2","0","0","163"
"2016年11月30日17時15分","0","24","0","0","0","0","0","28","1","21","188"
"2016年11月30日17時20分","0","2","0","0","0","0","0","19","0","0","272"
"2016年11月30日17時25分","0","0","0","0","0","0","0","0","0","0","299"
"2016年11月30日17時30分","0","7","0","0","0","0","0","0","0","0","287"
"2016年11月30日17時35分","0","0","0","0","0","0","0","6","0","0","292"
"2016年11月30日17時40分","0","0","0","0","0","0","0","0","0","0","16"
"2016年11月30日17時45分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月30日17時50分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月30日17時55分","0","224","0","0","0","0","0","0","0","0","1"
"2016年11月30日18時00分","0","300","0","0","0","0","0","0","0","0","0"
"2016年11月30日18時05分","0","94","0","0","0","0","0","0","0","0","4"
"2016年11月30日18時10分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月30日18時15分","0","2","0","0","0","0","0","0","0","3","0"
"2016年11月30日18時20分","0","11","0","0","0","0","0","0","0","104","178"
"2016年11月30日18時25分","0","236","0","0","0","0","0","3","0","0","55"
"2016年11月30日18時30分","0","178","0","0","0","0","0","0","0","0","116"
"2016年11月30日18時35分","0","16","0","0","0","0","0","2","0","0","271"
"2016年11月30日18時40分","0","0","0","0","0","0","0","0","0","0","295"
"2016年11月30日18時45分","0","29","0","0","0","0","0","0","0","0","264"
"2016年11月30日18時45分","0","29","0","0","0","0","0","0","0","0","264"
"2016年12月01日17時45分","6","301","0","0","0","0","0","24","0","152","1"
"2016年12月01日17時50分","26","94","0","0","0","0","0","0","0","162","0"
"2016年12月01日17時55分","0","196","0","0","0","0","0","0","0","81","0"
"2016年12月01日18時00分","21","63","0","0","0","1","8","0","4","166","2"
"2016年12月01日18時10分","32","218","0","0","0","0","0","45","7","101","7"
"2016年12月01日18時20分","0","252","0","0","0","0","0","0","10","73","43"
"2016年12月01日18時25分","0","232","0","0","0","0","0","42","1","4","11"
"2016年12月01日18時30分","0","229","0","0","0","0","0","57","0","4","8"
"2016年12月01日18時35分","100","0","0","0","0","0","0","81","0","111","0"
"2016年12月01日18時40分","279","18","0","0","0","0","0","0","0","0","0"
"2016年12月05日15時20分","23","260","0","0","0","0","0","0","16","39","7"
"2016年12月05日15時25分","1","271","0","0","0","0","0","0","0","15","0"
"2016年12月05日15時30分","24","200","0","36","0","0","0","0","4","17","0"
"2016年12月05日15時35分","0","113","0","74","0","0","0","0","0","18","76"
"2016年12月05日15時40分","0","97","0","0","0","0","98","0","0","35","43"
"2016年12月05日15時45分","8","1","0","0","0","0","0","13","0","169","93"
"2016年12月05日15時50分","0","182","0","0","0","0","0","0","0","104","0"
"2016年12月05日15時55分","0","146","0","0","0","0","0","0","0","0","136"
"2016年12月05日16時00分","2","102","0","0","0","0","0","0","0","19","157"
"2016年12月05日16時05分","0","195","0","0","0","0","0","0","0","0","0"
"2016年12月05日16時10分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月05日16時15分","0","182","0","0","0","0","0","0","0","0","5"
"2016年12月05日16時20分","0","299","0","0","0","0","0","0","0","0","0"
"2016年12月05日16時25分","0","122","0","0","0","0","0","0","0","0","0"
"2016年12月05日16時30分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月05日16時35分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月05日16時40分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月05日16時45分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月05日16時50分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月05日16時55分","0","94","0","0","0","0","0","0","0","0","48"
"2016年12月05日17時00分","0","210","0","0","0","0","0","0","0","0","85"
"2016年12月05日17時05分","0","286","0","0","0","0","0","0","0","0","4"
"2016年12月05日17時10分","0","249","0","0","0","0","0","0","0","0","0"
"2016年12月05日17時15分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月05日17時20分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月05日17時25分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月05日17時30分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月05日17時35分","0","89","0","0","0","0","0","0","2","2","136"
"2016年12月05日17時40分","0","0","0","0","0","0","0","0","0","0","299"
"2016年12月05日17時45分","0","0","0","0","0","0","0","0","0","0","222"
"2016年12月05日17時50分","0","99","0","0","0","0","0","0","0","0","188"
"2016年12月05日17時55分","0","61","0","0","0","0","0","0","0","80","142"
"2016年12月05日18時00分","0","124","0","40","0","0","0","0","1","0","121"
"2016年12月05日18時05分","0","0","0","287","0","0","0","0","0","0","0"
"2016年12月05日18時10分","17","64","0","156","0","0","0","0","3","34","3"
"2016年12月05日18時15分","0","13","0","190","0","0","0","3","0","0","21"
"2016年12月05日18時20分","0","0","0","28","0","0","0","0","0","0","271"
"2016年12月05日18時25分","0","0","0","0","0","0","0","0","0","0","300"
"2016年12月05日18時30分","0","0","0","0","0","0","0","0","0","0","300"
"2016年12月05日18時35分","0","263","0","0","0","0","0","0","0","0","19"
"2016年12月05日18時40分","0","149","0","0","0","0","0","0","0","0","137"
"2016年12月05日18時45分","0","0","0","0","0","0","0","0","0","0","300"
"2016年12月08日12時45分","17","67","0","0","0","0","0","0","0","0","343"
"2016年12月08日12時50分","0","23","0","0","0","18","0","0","1","9","227"
"2016年12月08日12時55分","0","30","0","0","0","0","0","0","0","0","263"
"2016年12月08日13時00分","0","15","0","0","0","0","57","104","0","5","105"
"2016年12月08日13時05分","0","0","0","0","0","0","296","0","0","0","4"
"2016年12月08日13時10分","0","0","0","0","0","0","298","0","0","0","0"
"2016年12月08日13時15分","0","0","0","0","0","0","296","0","0","0","0"
"2016年12月08日13時20分","0","0","0","0","0","0","297","0","0","0","0"
"2016年12月08日13時25分","3","0","0","0","0","0","263","1","10","10","0"
"2016年12月08日13時30分","0","0","0","0","0","0","287","0","0","0","12"
"2016年12月08日13時35分","0","0","0","0","0","0","300","0","0","0","0"
"2016年12月08日13時40分","0","0","0","0","0","0","255","0","43","0","0"
"2016年12月08日13時45分","0","18","0","0","0","0","266","0","8","0","6"
"2016年12月08日13時50分","0","139","0","0","0","0","51","0","3","9","80"
"2016年12月08日13時55分","0","0","0","0","0","0","297","0","0","0","1"
"2016年12月08日14時00分","0","0","0","0","0","0","279","0","0","0","0"
"2016年12月08日14時05分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日14時10分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日14時15分","0","0","0","0","0","0","290","0","0","0","0"
"2016年12月08日14時20分","0","0","0","0","0","0","299","0","0","0","1"
"2016年12月08日14時25分","0","0","0","0","0","0","16","0","0","0","0"
"2016年12月08日14時30分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日14時35分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日14時40分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日14時45分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日14時50分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日14時55分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日15時00分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日15時05分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日15時10分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日15時15分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日15時20分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日15時25分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日15時30分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日15時35分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日15時40分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日15時45分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日15時50分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日15時55分","0","0","0","0","0","4","1","0","0","0","0"
"2016年12月08日16時00分","0","0","0","0","0","238","0","18","0","30","0"
"2016年12月08日16時05分","1","0","0","182","0","0","0","49","1","7","43"
"2016年12月08日16時10分","1","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日16時15分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日16時25分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日16時25分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日16時30分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日16時35分","1","0","0","5","0","0","0","0","0","0","200"
"2016年12月08日16時40分","1","0","0","15","0","0","0","0","107","15","149"
"2016年12月08日17時35分","0","298","0","0","0","0","0","0","0","0","0"
"2016年12月08日17時35分","0","8","0","0","0","0","0","1","0","0","41"
"2016年12月08日17時35分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日17時35分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日17時35分","0","0","0","0","0","0","0","119","0","0","0"
"2016年12月08日17時35分","0","0","0","0","0","0","0","300","0","0","0"
"2016年12月08日17時35分","0","8","0","0","0","0","0","146","0","0","140"
"2016年12月08日17時35分","0","0","0","0","0","0","0","27","0","130","136"
"2016年12月08日17時35分","0","68","0","0","0","0","0","23","4","75","109"
"2016年12月08日17時35分","1","56","0","0","0","0","0","161","0","1","65"
"2016年12月08日17時40分","9","246","0","0","0","0","0","0","2","0","40"
"2016年12月08日17時45分","34","31","0","146","0","0","0","0","0","0","82"
"2016年12月08日18時00分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日18時00分","48","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日18時00分","1","168","0","75","0","0","0","0","0","0","49"
"2016年12月08日18時05分","0","0","0","0","0","0","0","0","0","0","0"
"2016年12月08日18時10分","1","0","0","0","0","0","0","0","0","7","163"
"2016年12月08日18時15分","82","0","0","0","0","0","0","0","0","1","214"
"2016年12月08日18時20分","0","283","0","0","0","0","0","0","0","0","11"
"2016年12月08日18時25分","189","110","0","0","0","0","0","0","0","0","0"
"2016年12月08日18時30分","38","18","0","0","0","0","0","0","0","0","0"
"2016年12月08日18時35分","0","2","0","0","0","0","0","0","0","0","92"
"2016年12月08日18時40分","9","0","0","0","0","0","0","0","0","0","288"
"2016年12月08日18時45分","122","0","0","0","0","0","0","0","0","0","89"
"2016年12月08日18時45分","0","112","0","0","0","0","0","49","0","7","111"
"2016年12月08日18時50分","0","199","0","8","0","1","8","22","0","0","32"
"2016年12月08日18時55分","0","0","0","0","0","5","0","0","1","244","46"
"2016年12月12日13時25分","0","0","0","9","0","26","0","56","43","304","9"
"2016年12月12日13時30分","0","4","0","0","0","0","0","31","25","20","191"
"2016年12月12日13時35分","0","71","0","0","0","0","0","25","0","1","185"
"2016年12月12日13時40分","0","0","0","0","0","0","0","61","0","7","215"
"2016年12月12日13時45分","0","162","0","0","0","0","0","21","0","0","102"
"2016年12月12日13時50分","0","0","0","0","0","0","0","0","0","0","299"
"2016年12月12日13時55分","0","0","0","0","0","0","0","15","0","3","279"
